"avatarThumbnail","cid","createTime","createTimeISO","diggCount","repliesToId","replyCommentTotal","submittedVideoUrl","text","uid","uniqueId","videoWebUrl"
"https://p16-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/748ad85921b172531c90f1bdb9f3ef81~c5_100x100.jpg?lk3s=30310797&nonce=67547&refresh_token=38bcfbed26c712795eeb2ba3bbb6bf63&x-expires=1720058400&x-signature=DA0E6Zw03IHcTg9KrY%2BjJtz2Kss%3D&shp=30310797&shcp=-","6911140708741021702","1609125342","2020-12-28T03:15:42.000Z","25597",,"46","https://www.tiktok.com/@brennalip/video/6911139349606239493","people HATE a woman that uses her voice! you keep going babe! you're amazing! you're strong! we need more people like you","6834795247744549894","whoevenisthislol_","https://www.tiktok.com/@brennalip/video/6911139349606239493"
"https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/06e95cf8f254af6ed65aadd7f2a78a94~c5_100x100.jpg?lk3s=30310797&nonce=66022&refresh_token=8a283a40b3f86c6f20926435a76b4030&x-expires=1720058400&x-signature=u1tyAIbiD%2FoaI7hrvcECsar%2BrLM%3D&shp=30310797&shcp=-","6911170613298577413","1609132307","2020-12-28T05:11:47.000Z","63",,"0","https://www.tiktok.com/@brennalip/video/6911139349606239493","this is so amazing omg","98972498708348928","keiciejsjcieqiiwkkalzvs","https://www.tiktok.com/@brennalip/video/6911139349606239493"
"https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/b25eeb7674ed15770a562b47edb82557~c5_100x100.jpg?lk3s=30310797&nonce=78364&refresh_token=7b288dece67d3706030b58a5bda9e9f3&x-expires=1720058400&x-signature=w%2FOcqiJqGJF8i5zo0MJOH1sPiT4%3D&shp=30310797&shcp=-","6911161077212905478","1609130086","2020-12-28T04:34:46.000Z","724",,"9","https://www.tiktok.com/@brennalip/video/6911139349606239493","my dad was stolen july 19. everything still triggers me especially since i work in retail & people love not wearing mask.","6680950138784449541","ajupeach","https://www.tiktok.com/@brennalip/video/6911139349606239493"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6a653ced33bfc9ef512a6ec168d6c729~c5_100x100.jpg?lk3s=30310797&nonce=75291&refresh_token=a82aa50033250ee1e4da6c8315c03c27&x-expires=1720058400&x-signature=wgz3RdpCrHACe%2Bkm2km643xRC98%3D&shp=30310797&shcp=-","6911147712050708486","1609126974","2020-12-28T03:42:54.000Z","89",,"5","https://www.tiktok.com/@brennalip/video/6911139349606239493","Can someone tag me when this video has enough likes to be saved Bc I need to share this everywhere","6742218874945684486","palestinian.slenderman","https://www.tiktok.com/@brennalip/video/6911139349606239493"
"https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/364f6e3e610bf5ab31300eaf15863327~c5_100x100.jpg?lk3s=30310797&nonce=93434&refresh_token=36ab494cac3bfb631c0432101b2e1115&x-expires=1720058400&x-signature=Qveq0gMhQTJSEYMlqXwGlKBEiIw%3D&shp=30310797&shcp=-","6911474201665175557","1609202991","2020-12-29T00:49:51.000Z","74",,"0","https://www.tiktok.com/@brennalip/video/6911139349606239493","🅱️00sting for 🅰️lgo","6869131322712900614","isaacjrich","https://www.tiktok.com/@brennalip/video/6911139349606239493"
"https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/5361126bb5075c5d2f9fd571fce096c2~c5_100x100.jpg?lk3s=30310797&nonce=24729&refresh_token=86f32a808cfc1205257b886b84bb14af&x-expires=1720058400&x-signature=ji3YAQPL1vGQy%2BHh%2F6qU7MSOmpM%3D&shp=30310797&shcp=-","6911145708947128325","1609126507","2020-12-28T03:35:07.000Z","393",,"13","https://www.tiktok.com/@brennalip/video/6911139349606239493","Did anyone else struggle mental when having the virus? Like i didnt struggle with the virus physical that much","6762883981668713478","johlonta","https://www.tiktok.com/@brennalip/video/6911139349606239493"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/73dd2b7f08aac56eec08e75f848202fa~c5_100x100.jpg?lk3s=30310797&nonce=57262&refresh_token=e5a61fde34f78864bbba5c118c201411&x-expires=1720058400&x-signature=F8xn7%2BafoLprjVFF9q8Vp3DtC%2FM%3D&shp=30310797&shcp=-","6911233022990172165","1609146843","2020-12-28T09:14:03.000Z","1127",,"26","https://www.tiktok.com/@brennalip/video/6911139349606239493","@jamescharles and yall are still having parties...","6567551941630967814","feliciathegoatof","https://www.tiktok.com/@brennalip/video/6911139349606239493"
"https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/0a634c0f7ce6498f67652561a38bb548~c5_100x100.jpg?lk3s=30310797&nonce=91440&refresh_token=8a7037e7df2c1078082f912ebe56aa6d&x-expires=1720058400&x-signature=Ns3MMwMiateGLhVczP8G%2BlV7zO4%3D&shp=30310797&shcp=-","6911161503761039365","1609130187","2020-12-28T04:36:27.000Z","253",,"1","https://www.tiktok.com/@brennalip/video/6911139349606239493","this is amazing and this message still needs to be spread","6807550670896841734","adhdrry","https://www.tiktok.com/@brennalip/video/6911139349606239493"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7322703995972943878~c5_100x100.jpg?lk3s=30310797&nonce=87766&refresh_token=2c9e4028060d6379e8119f2a004d47f3&x-expires=1720058400&x-signature=IH%2BZHWgQ07%2BgrTNo2FzG5qsayeI%3D&shp=30310797&shcp=-","6911139958493347846","1609125168","2020-12-28T03:12:48.000Z","317",,"0","https://www.tiktok.com/@brennalip/video/6911139349606239493","I’m so sorry, thank you documenting everything","6636137392296820742","chungkeepanda","https://www.tiktok.com/@brennalip/video/6911139349606239493"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7329324656950722566~c5_100x100.jpg?lk3s=30310797&nonce=81739&refresh_token=2b15aeae77c570ab4333df568b97909b&x-expires=1720058400&x-signature=AwTa87%2BbhGvh6W0cjjETtGYVH7E%3D&shp=30310797&shcp=-","6911246918195249157","1609150080","2020-12-28T10:08:00.000Z","99",,"7","https://www.tiktok.com/@brennalip/video/6911139349606239493","I get this so much man. Me and my family have always worn masks and we are still affected by people who are careless. A staff member at my nana’s","6663829834738827269","fudgieboy","https://www.tiktok.com/@brennalip/video/6911139349606239493"
